Inventory,Book,System,LegalEntity,TradeId,Version,TradeStatus,ProductType,Resetting Leg,ProductSubType,TDSProductType,SecCodeSubType,SwapType,Description,TradeDate,StartDate,MaturityDate,topOfHouse,segment,viceChair,globalBusiness,Policy,desk,portfolio,BU,CLINE,UQL_OC_MMB_MS,UQL_OC_MMB_MS_PC,var_MS_PC,abs_var_MS_PC,breakstatus,MaturityDate_format,Diff_date,Diff_date_2,Diff_date_3,Term
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,6998156,2,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 30Jan14 15Dec17 1.69015/3M,20140129,20140130,20171215,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,584,C052 - DERIV - SWAP,0.0,0.0,0.0,0.0,(0 - 99),2017-12-15,-1313 days +00:00:00.000000000,-1313 ,-1313,
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,2604552,2,TERMINATED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 24May12 15Mar22 3M/2.30,20120516,20120524,20220315,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,584,C052 - DERIV - SWAP,0.0,0.0,0.0,0.0,(0 - 99),2022-03-15,238 days 00:00:00.000000000,238,238,(6m - 1yr)
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,11683176,1,VERIFIED,SWAP,,Standard,SWAP_IR,,Fixed/USD.LIBOR.3M,USD 04Mar16 04Mar23 1.457/3M,20160302,20160304,20230304,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,584,C052 - DERIV - SWAP,-14109586.5,14839736.32,-28949322.82,28949322.82,(100000 +),2023-03-04,592 days 00:00:00.000000000,592,592,(1yr - 10yr)
NY_SWAP_WASH,NY_SWAP_WASH,CALYPSO,TDBK,10172657,5,TERMINATED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 27Feb15 27Feb20 3M/1.146,20150227,20150227,20200227,TD,TDS,VC,DFID,CIRT,Options_MM,NY_SWAP_WASH,584,C050 - DERIV - SWAPS,,,0.0,0.0,(0 - 99),2020-02-27,-509 days +00:00:00.000000000,-509 ,-509,
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,8825467,1,VERIFIED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 15Dec14 19Dec16 1.572/3M,20140916,20141215,20161219,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,584,C052 - DERIV - SWAP,,,0.0,0.0,(0 - 99),2016-12-19,-1674 days +00:00:00.000000000,-1674 ,-1674,
NY_SWAP_WASH,NY_SWAP_WASH,CALYPSO,TDBK,5144168,4,TERMINATED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 10Jul13 10Jul18 3M/2.229,20130710,20130710,20180710,TD,TDS,VC,DFID,CIRT,Options_MM,NY_SWAP_WASH,584,C050 - DERIV - SWAPS,,,0.0,0.0,(0 - 99),2018-07-10,-1106 days +00:00:00.000000000,-1106 ,-1106,
NY_SWAP_WASH,NY_SWAP_WASH,CALYPSO,TDBK,5752755,5,VERIFIED,SWAP,,Standard,SWAP_IR,,Fixed/USD.LIBOR.3M,USD 10Sep13 10Sep18 1.50/3M,20130906,20130910,20180910,TD,TDS,VC,DFID,CIRT,Options_MM,NY_SWAP_WASH,584,C050 - DERIV - SWAPS,,,0.0,0.0,(0 - 99),2018-09-10,-1044 days +00:00:00.000000000,-1044 ,-1044,
NY_SWAP_WASH,NY_SWAP_WASH,CALYPSO,TDBK,9120908,4,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 24Oct14 24Oct19 1.84/3M,20141024,20141024,20191024,TD,TDS,VC,DFID,CIRT,Options_MM,NY_SWAP_WASH,584,C050 - DERIV - SWAPS,,,0.0,0.0,(0 - 99),2019-10-24,-635 days +00:00:00.000000000,-635 ,-635,
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,5323662,2,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 16Sep13 18Sep23 3.097/3M,20130731,20130916,20230918,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,584,C052 - DERIV - SWAP,0.0,0.0,0.0,0.0,(0 - 99),2023-09-18,790 days 00:00:00.000000000,790,790,(1yr - 10yr)
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,11100287,2,VERIFIED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 18Dec15 18Dec17 3M/1.00,20151027,20151218,20171218,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,584,C052 - DERIV - SWAP,-17342316.28,10143987.25,-27486303.53,27486303.53,(100000 +),2017-12-18,-1310 days +00:00:00.000000000,-1310 ,-1310,
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,8394430,4,TERMINATED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 15Sep14 19Sep16 3M/1.438,20140722,20140915,20160919,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,584,C052 - DERIV - SWAP,0.0,0.0,0.0,0.0,(0 - 99),2016-09-19,-1765 days +00:00:00.000000000,-1765 ,-1765,
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,10906628,24,VERIFIED,XCCY_SWAP,,Standard,SWAP_XCCY,,Fixed,CAD-USD CCS 26Aug15 26Aug20 1.363/1.75,20150819,20150826,20200826,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,584,C052 - DERIV - SWAP,0.0,0.0,0.0,0.0,(0 - 99),2020-08-26,-328 days +00:00:00.000000000,-328 ,-328,
IRD_TOR_TOROPT,IRD_TOR_TOROPT,CALYPSO,TDBK,11254359,3,VERIFIED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 02Dec15 02Dec20 1.195/3M,20151014,20151202,20201202,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_TOR_TOROPT,584,C755 - Toronto,30560.0,46050.0,-15490.0,15490.0,(10000 - 99999),2020-12-02,-230 days +00:00:00.000000000,-230 ,-230,
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,5574554,2,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 19Aug13 20Aug18 2.4141/3M,20130819,20130819,20180820,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,584,C052 - DERIV - SWAP,-3344900.79,7140277.46,-10485178.25,10485178.25,(100000 +),2018-08-20,-1065 days +00:00:00.000000000,-1065 ,-1065,
IRD_NYK_NYGAMMA,IRD_NYK_NYGAMMA,CALYPSO,TDBK,11597827,1,VERIFIED,SWAP,,Standard,SWAP_IR,,USD.LIBOR.3M/Fixed,USD 04Aug16 04Aug18 3M/0.974,20160202,20160804,20180804,TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_NYGAMMA,584,C756 - New York,0.0,0.0,0.0,0.0,(0 - 99),2018-08-04,-1081 days +00:00:00.000000000,-1081 ,-1081,
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,1979382,2,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 17Oct11 01Dec20 2.551/3M,20111012,20111017,20201201,TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,584,C052 - DERIV - SWAP,,,0.0,0.0,(0 - 99),2020-12-01,-231 days +00:00:00.000000000,-231 ,-231,
